pubblication_date,oggetto,cig,importoAggiudicazione,vendor_code,agency_name,sceltaContraente,agency_fiscal_code,vendor_name,importoSommeLiquidate,vendor_country
2011-1,FORNITURA ANNUALE MATERIALI DI ERRAMENTA DA LISTINI VARI PER LA C.LE DI TORREVALDALIGA NORD OPZIONE SECONDO ANNO.,07541475C9,0,,ENEL SERVIZI SRL,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",06377691008,,0,
2011-1,DISTINTA MENSILE FARMACI E SERVIZI FARMACIA SAN PIERO IN FRASSINO,2897136840,0,,AZIENDA USL 8 - AREZZO,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01458450515,,0,
2011-1,REALIZZAZIONE PISTA CICLABILE BARATE-VIGANO,07675656AB,109484.45,06329990961,COMUNE DI GAGGIANO,21-PROCEDURA RISTRETTA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,82001390150,LITTA &amp; GIARDINO SRL,0,ITALY
2011-1,"SERVIZI DI SUPPORTO, ASSISTENZA E CONSULENZA TECNICA E MANAGERIALE. C0031S",08853516C0,0,,NUCLECO SPA,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,05081150582,,0,
2011-1,"FORNITURA SERVIZI IN ESCLUSIVA PARTECIPAZIONE ISTITUZIONALE ECOBUILD, LONDRA",1076955B5E,123440.00,510352988,REGIONE PUGLIA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80017210727,CAMERA DI COMMERCIO ITALIANA PER IL REGNO UNITO,0,NOT ITALY
2011-1,GESTIONE DI COMUNITÀ ALLOGGIO PER SOGGETTI DIVERSAMENTE ABILI,0730970F82,0,,COMUNE DI ALATRI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80003090604,,0,
2011-1,405 -NOVARTIS,1008265E95,54545.00,07195130153,ASL DELLA PROVINCIA DI MONZA E BRIANZA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02734330968,NOVARTIS FARMA S.P.A.,0,ITALY
2011-1,SERVIZI DI PULIZIA,236947047F,45279.48,99999999999,LICEO SCIENTIFICO STATALE A.CALINI,17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91,80049670179,NON  CLASSIFICATO,0,ITALY
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,286690118C,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,LAVORI DI RECUPERO E MANUTENZIONE STRAORDINARIA DI N°1 FABB. DI ERP (N°18 ALL.) VIA DON MILANI COMUNE DI MACOMER NU,19554811F8,151481.81,,AZIENDA REGIONALE PER L&apos;EDILIZIA ABITATIVA,22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,03077790925,,0,
2011-1,FORNITURA OLIO SINTETICO PER MOTORI DIESEL,0848094D4B,144211.00,05082750968,AZIENDA TRASPORTI MILANESI S.P.A.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,97230720159,PETRONAS LUBRIFICANTS ITALY,0,ITALY
2011-1,"SELEZIONE INERENTE SERVIZI DI CUSTODIA, SORVEGLIANZA, PULIZIA E RIORDINO DELL&apos;AREA DI TRANSITO PER POPOLAZIONI NOMADI - VIA SETTEPONTI - AREZZO",0747851A28,0,,COMUNE DI AREZZO,01-PROCEDURA APERTA,00176820512,,0,
2011-1,"RATIFICA ED APPROVAZIONE, AI FINI DELL?EMISSIONE DELL?ORDINATIVO, DEI CONTRATTI CONTO TERZI TRA AMA S.P.A. E L?UNIVERSITÀ DEGLI STUDI DI TOR VERGATA ? DIPARTIMENTO DI INGEGNERIA CIVILE, RELATIVI A CAMPIONAMENTI ED ANALISI PERIODICI DEI FLUSSI DI RIFIUTO IN INGRESSO ED IN USCITA E DELLE EMISSIONI DAL BIOFILTRO DEGLI IMPIANTI TMB DI VIA SALARIA E ROCCA CENCIA, PER UN PERIODO DI 12 MESI",0628749C13,0,,AZIENDA MUNICIPALE AMBIENTE S.P.A. ROMA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,05445891004,,0,
2011-1,FORNITURA DI FARMACI DITTA ALEXION PHARMA ITALY,3071621DD2,99636.00,05665070966,AZIENDA OSPEDALIERA DI RILIEVO NAZIONALE E DI ALTA SPECIA...,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,05841770828,ALEXION PHARMA ITALY SRL,0,ITALY
2011-1,SERVIZI PULIZIA,2915369E97,0,,ISTITUTO COMPRENSIVO DI SCUOLA MATERNA ELEMENTARE E MEDIA,22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,81001170851,,0,
2011-1,MANUTENZIONE ORDINARIA FABBRICATI ANNO 2011 LIMES SRL,1027092F1D,0,,AZIENDA TERRITORIALE PER L&apos;EDILIZIA RESIDENZIALE - A.T.E.R.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00165800244,,0,
2011-1,ACQUISTO E MANUTENZIONE LICENZE PRODOTTI CA E SERVIZI PROFESSIONALI,0781529A1F,1150000.00,04200340158,ENI SPA,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,00484960588,COMPUTER ASSOCIATES SRL CON SOCIO UNICO,0,ITALY
2011-1,SERVIZIO DI DISTRIBUZIONE GAS,4094872B43,0,,COMUNE DI ROSA&apos;,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,00276370244,,0,
2011-1,"CARROZZINE MANUALI ED ELETTRONICHE, SISTEMI PER DEAMBULAZIONE, SISTEMI ANTIDECUBITO -VASSILLI S.R.L.",2874206DCF,0,,ISTITUTO NAZIONALE PER L&apos;ASSICURAZIONE CONTRO GLI INFORTU...,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,01165400589,,0,
2011-1,TELEFONIA FISSA,343535831A,0,,COMUNE DI LEGNAGO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00597030238,,0,
2011-1,ADEGUAMENTO E MESSA A NORMA IMPIANTI DI PUBBLICA ILLUMINAZIONE,08160956E4,0,,COMUNE DI CASTEL MADAMA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01012960587,,0,
2011-1,ENDOPROTESI VASCOLARE MISURE VARIE,21073353DA,0,,AZIENDA SANITARIA LOCALE AT,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01120620057,,0,
2011-1,KIT MONOUSO PER INTERVENTO DI CATARATTA,339601610F,0,,AZIENDA SANITARIA PROVINCIALE DI SIRACUSA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01661590891,,0,
2011-1,SERVIZI DI GESTIONE DEL SISTEMA INFORMATIVO CUP AZIENDALE,2899316F3C,821105.76,08336080588,AZIENDA SANITARIA LOCALE BAT,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,90062670725,SVIMSERVICE S.P.A.,0,ITALY
2011-1,SERVIZIO DI FACCHINAGGIO - SITI ENI UBICATI IN SICILIA,2896480AE6,0,,ENISERVIZI S.P.A.,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",11665650153,,0,
2011-1,LAVORI DI MANUTENZIONE ALLE RETI IDRICHE E FOGNARIE DELL&apos;AREA ARETINA - COMUNI LIMITROFI AD AREZZO 2011,088065537E,435965.00,,NUOVE ACQUE SPA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01616760516,,0,
2011-1,FORNITURA DI SCOMPARTI MEDIA TENSIONE,07807707C7,79620.00,00102620440,ASTEA S.P.A.,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,01501460438,ELETTROMECCANICA ADRIATICA  S.P.A.,0,ITALY
2011-1,MANUTENZIONE ORDINARIA CSI BZ - OPERE DA MURATORE - GARA 3,0750265243,0,,ISTITUT FUER SOZIALEN WOHNBAU DES LANDES SUEDTIROL ISTITU...,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00121630214,,0,
2011-1,"AFFIDAMENTO PER L&apos;ANNO 2011 DEL SERVIZIO DI APERTURA, CHIUSURA, SORVEGLIANZA, PULIZIA E PICCOLA MANUTENZIONE DI GIARDINI MINORI DI COMPETENZA CIRCOSCRIZIONALE",07901146B1,0,,COMUNE DI BERGAMO,17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91,80034840167,,0,
2011-1,PROCEDURA APERTA PER L&apos;AFFIDAMENTO DEI SERVIZI DI CONTROLLO DI SICUREZZA DEI PASSEGGERI E DEI BAGAGLI A MANO E DA STIVA PRESSO L&apos;AEROPORTO DI FIRENZE,0740399494,4800834.00,,AEROPORTO DI FIRENZE SPA,01-PROCEDURA APERTA,03507510489,,0,
2011-1,ACQ. PRESTAZ. SOCIO SANIT. (CDD) EROGATORE ACCREDITATO COOP. LA STAZIONE,2148386834,0,,A.S.L.PROVINCIA DI MANTOVA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01838560207,,0,
2011-1,RIQUALIFICAZIONE VIA COLOMBO SAN POLO,0854049F83,0,,COMUNE DI PODENZANO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80003050335,,0,
2011-1,MANUTENZIONE DELLA SEGNALETICA STRADALE ORIZZONTALE E VERTICALE ANNO 2011-2012,10811977FB,76668.00,00024950156,COMUNE DI AGRATE BRIANZA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02254070150,ISOV SRL,0,ITALY
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,2867227E8E,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,ASSISTENZA PROTESICA,425102699F,0,,UNITA&apos; LOCALE SOCIO SANITARIA N.20 VERONA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02573090236,,0,
2011-1,LOTTO 35,08141723FC,0,,AZIENDA USL DI BOLOGNA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,02406911202,,0,
2011-1,FORNITURA PRESTAZIONI SANITARIE,29340842B6,0,,AZIENDA UNITA SANITARIA LOCALE ROMA H,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,04737811002,,0,
2011-1,FORNITURA DISPOSITIVI PER DIALISI - VARI,2734684C9D,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,2867127C09,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,PRESTAZIONI DOTT.SSA ALBETI,224117434A,0,,COMUNE DI PIAN CAMUNO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00641410170,,0,
2011-1,LAVORI COMPLEMENTARI ALLA REALIZZAZIONE DEL NUOVO BLOCCO OPERATORIO RIGUARDANTI LA FORNITURA CON POSA DI PENSILINE E PARANEVE,0796872F8F,0,,AZIENDA OSPEDALIERA S. CROCE E CARLE,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01127900049,,0,
2011-1,UNICO,1089096E6F,0,,COMUNE DI MONTEROSSO ALMO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00177300886,,0,
2011-1,GARA REG. FARMACI 2 - VECTIBIX 20MG/5ML 1FL,41526299D9,0,,AZIENDA UNITA&apos; SANITARIA LOCALE RIETI,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,00821180577,,0,
2011-1,MEZZI DI CONTRASTO (BAYER),0832857F52,60000.00,05849130157,AZIENDA OSPEDALIERA OSPEDALI RIUNITI DI BERGAMO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80020570166,BAYER S.P.A.,0,ITALY
2011-1,MANUTENZIONE STRAORDINARIA APPARECCHIATURE ELETTROMEDICALI - DITTA SAMED,12038990E2,0,,AZIENDA OSPEDALIERO-UNIVERSITARIA MAGGIORE DELLA CARITA&apos;,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01521330033,,0,
2011-1,CONTRATTO DI LOCAZIONE,0768794CDD,0,,AGENZIA NAZ.PER AMMINI. DESTIN. BENI SEQUESTRATI E CONFIS...,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,92069980800,,0,
2011-1,INTERVENTI DI RIFACIMENTO OPERE IDRAULICHE ED ELETTROMECCANICHE DELLA CENTRALE DEL XIII LIVELLO DELLA MINIERA DEL RAIBL 1° STRALCIO - (OPERE EDILI ED IMPIANTI ELETTRICI FINALIZZATI ALLA REALIZZAZIONE DELLE OPERE DI CAPTAZIONE),3389908094,0,,REGIONE AUTONOMA FRIULI-VENEZIA GIULIA,22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,80014930327,,0,
2011-1,ABBONAMENTO BANCA DATI ON LINE,1245369EFE,0,,CONSIGLIO NAZIONALE DELLE RICERCHE,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80054330586,,0,
2011-1,RIFIUTI ALLO STATO LIQUIDO AREA TERRITORIALE PROVINCIA DI ENNA,068386466B,0,,AZIENDA SANITARIA PROVINCIALE DI CATANIA,01-PROCEDURA APERTA,04721260877,,0,
2011-1,"AFFIDAMENTO DIRETTO ALLA SOCIETÀ ELSAG DATAMAT S.P.A. - VIA PUCCINI 2 - 16154 GENOVA, DELLA FORNITURA DI SERVIZI PER L&apos;EVOLUZIONE DEI SISTEMI DI GESTIONE INFORMATIZZATA DEI REGISTRI DELLA COGNIZIONE ORDINARIA DELLA ESECUZIONI CIVILI INDIVIDUALI E CONCORSUALI E DELLA CONSOLLE DEL MAGISTRATO NECESSARI PER L&apos;ADEGUAMENTO DELL&apos;ATTUALE INFRASTRUTTURA ESISTENTE PRESSO IL PALAZZO DI GIUSTIZIA DI MILANO - 2^ TRANCHE.",0764242073,798850.00,03751500103,COMUNE DI MILANO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01199250158,ELSAG DATAMAT,0,ITALY
2011-1,CONCESSIONE DI COSTRUZIONE E GESTIONE DI UN IMPIANTO DI TRATTAMENTO DEL PERCOLATO IL CUI FUNZIONAMENTO È PREVISTO ANCHE CON IL CONTEMPORANEO SFRUTTAMENTO DEL BIOGAS PRODOTTO DALLA FERMENTAZIONE ANAEROBICA DELLA FRAZIONE ORGANICA DEI RR.SS.UU. DELLA DISCARICA SITA IN CONTRADA SARACENO-SALINELLA NEL COMUNE DI SCIACCA,0911806E19,0,,SO.GE.I.R. AG1 S.P.A.,02-PROCEDURA RISTRETTA,02302610841,,0,
2011-1,PROROGA PER DISPOSITIVI SPECIALISTICI PER NEURORADIOLOGIA,2728692BDC,0,,AZIENDA OSPEDALIERA OSPEDALE CONSORZIALE POLICLINICO,01-PROCEDURA APERTA,04846410720,,0,
2011-1,CONVENZIONE ASS.NE VOLONTARIATO SOLIDARIETÀ CARITAS CASA BENELLI,2852078936,0,,AZIENDA OSPEDALIERO UNIVERSITARIA A. MEYER,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02175680483,,0,
2011-1,LAVORI DI MANUTENZIONE STRAORDINARIA STRADE ESTERNE,0818138CD2,0,,COMUNE DI RUTIGLIANO,02-PROCEDURA RISTRETTA,00518490727,,0,
2011-1,SERVIZIO DI PULIZIA IMMOBILI COMUNALI,1614592377,0,,COMUNE DI BINAGO,17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91,00490260130,,0,
2011-1,ASSISTENZA PROTESICA,4250818DF8,0,,UNITA&apos; LOCALE SOCIO SANITARIA N.20 VERONA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02573090236,,0,
2011-1,"LAVORI MESSA IN SICUREZZA LOCALE OCA, RIPRISTINO FUNZIONALE IMPIANTI E MESSA A NORMA AL SERVIZIO DEI CARICA BATTERIE DELLO STABILIMENTO IMC/ETR DI NAPOLI SMISTAMENTO",078965296F,126835.36,99999999999,TRENITALIA SPA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,05403151003,NON  CLASSIFICATO,0,ITALY
2011-1,ECONOMIA - ROTTAPHARM S.P.A.,0893308D11,0,,AZIENDA OSPEDALIERA BOLOGNINI DI SERIATE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02585160167,,0,
2011-1,PROCEDURA NEGOZIATA AI SENSI DELL&apos;ART. 57 COMMA 2 LETT. B) D. LGS. N. 163/06 SMI PER L&apos;ASSEGNAZIONE ANNUALE DI BENDAGGIO GASTRICO SVEDESE OBTECH COMPLETO DA DESTINARSI ALL&apos;U.O. DI CHIRURGIA GENERALE NUCLEO OPERATORIO DELL&apos;OSPEDALE DI MAGENTA,0750516165,138400.00,01629650167,AZIENDA OSPEDALIERA &quot; OSPEDALE CIVILE &quot; DI LEGNANO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,12313480159,CARLO BIANCHI S.R.L.,0,ITALY
2011-1,RICHIESTA D&apos;OFFERTA PER SERVIZIO DI SUPPORTOIN FASE DI CAMBI SOCIETARI ANVCO,3669167464,0,,ACQUA NOVARA.VCO S.P.A.,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02078000037,,0,
2011-1,PROCEDURA COTTIMO AFFIDAMENTO LAVORI RIPRISTINO STRADA INTERPODERALE,0751090B10,0,,COMUNE DI CAGLI,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00146060413,,0,
2011-1,"LAVORI PER SISTEMAZIONE DEL TRATTO STRADALE DI C.DA SELVAPIANA, DALLA MOTORIZZAZIONE CIVILE AL BIVIO PER ORATINO/OSPEDALE CARDARELLI",09110996AC,0,,COMUNE DI CAMPOBASSO,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,00071560700,,0,
2011-1,AFFIDAMENTO DEL SERVIZIO RELATIVO ALLA BONIFICA DELL&apos;AREA 1 DELLO STABILIMENTO DI TOR PAGNOTTA.,075044679F,0,,AZIENDA PER LA MOBILITA&apos; DEL COMUNE DI ROMA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,06341981006,,0,
2011-1,ACQUISTO BUSTE PER LA RACCOLTA DIFFERENZIATA,0786731EF1,0,,LAMEZIA MULTISERVIZI SPA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02126380795,,0,
2011-1,MANUTENZIONE STRAORDINARIA SCOGLIERA ANTISTANTE I CANTIERI MINORI AREA Z.I.P.A. SISTEMAZIONE URGENTE TRATTO DI SCOGLIERA ANTISTANTE AI CANTIERI GMG ? GRUPPI MARINI GENERALI.,0841056D5A,99518.83,00982160426,AUTORITA&apos; PORTUALE DI ANCONA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00093910420,IMP. COSTR. MENTUCCI ALDO S.R.L.,0,ITALY
2011-1,DISTINTA MENSILE FARMACI E SERVIZI FARMACIA MONTEMIGNAIO,289699109A,0,,AZIENDA USL 8 - AREZZO,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,01458450515,,0,
2011-1,SERVIZIO NOLEGGIO VEICOLI OPERATIVI,081941282A,0,,SOCIETA&apos; ITALIANA PER IL GAS PER AZIONI,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,00489490011,,0,
2011-1,ADESIONE LOTTO 107,072905640A,0,,AZIENDA USL DI BOLOGNA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02406911202,,0,
2011-1,RIATTAMENTO E MESSA A NORMA SCUOLA PER L&apos;INFANZIA DI SANTA CATERINA,08820946FD,65544.56,99999999999,COMUNE DI BONO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00197030901,NON  CLASSIFICATO,0,ITALY
2011-1,MANUTENZIONE CARRELLI  ELEVATORI SIMAI,07708193F5,200000.00,00887960151,SNAM RETE GAS S.P.A.,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",13271390158,S.I.M.A.I. S.P.A.,0,ITALY
2011-1,INSERIMENTO IN CENTRO DIURNI PER MINORI PERIODO GENNAIO 2011- SETTEMBRE 2012,289817627E,0,,CONSORZIO INTERCOMUNALE DEI SERVIZI SOCIALI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,07224580014,,0,
2011-1,TELI DI PROTEZIONE,27704431E3,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,INCARICO DI COORDINAMENTO ATTIVITA&apos; SANITARIA E DI ASSISTENZA MEDICA,0842597509,40560.00,GNIFPP49E11L174V,CASA RIPOSO S. VIGILIO - FONDAZIONE BONAZZA,25-AFFIDAMENTO DIRETTO A SOCIETA&apos; RAGGRUPPATE/CONSORZIATE O CONTROLLATE NELLE CONCESSIONI DI LL.PP,86001550226,DOTT. GINO FILIPPO,0,ITALY
2011-1,INDIZIONE PROCEDURA APERTA PER L&apos;AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA DOMICILIARE INTEGRATA ESTERNALIZZATA PER GLI ASSISTITI DELLA A.S.P. DI PALERMO,0754916064,0,,AZIENDA SANITARIA PROVINCIALE DI PALERMO,01-PROCEDURA APERTA,05841760829,,0,
2011-1,FORNITURA ENERGIA ELETTRICA UFFICI,17614423EB,0,,COMUNE DI RESIA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,84001610306,,0,
2011-1,BANDO DI GARA PER L?AFFIDAMENTO DELLA GESTIONE DEI PARCHEGGI A PAGAMENTO UBICATI NEL COMUNE DI CHIUSI.,0775714B6E,0,,COMUNE DI CHIUSI,01-PROCEDURA APERTA,00233780527,,0,
2011-1,"FORNITURA DI DIVISE ESTIVE ED INVERNALI PER L?ANNO 2011 AL PERSONALE OPERAIO, AUTISTA, DI OFFICINA ED AGLI IMPIEGATI TECNICI",07741153E7,0,,AZIENDA SERVIZI IGIENE AMBIENTALE - BENEVENTO S.P.A.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80008110621,,0,
2011-1,"LAVORI DI RIFACIMENTO DI UNA SCALA ESISTENTE, CONSOLIDAMENTO SOLAIO E RIFACIMENTO DEL COPERTO (OPERE PROPEDEUTICHE ALLA REALIZZAZIONE DELL?AULETTA INFORMATICA DI CONSULTAZIONE) PRESSO LA SEDE DELLA FACOLTÀ DI GIURISPRUDENZA SITA IN VIA ZAMBONI 22 ? BOLOGNA",07287263B7,198911.00,02761011200,ALMA MATER STUDIORUM-UNIVERSITA&apos; DI BOLOGNA:SEDE (BO-CESE...,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80007010376,EDIL3 SRL,0,ITALY
2011-1,SERVICE N° 2 SISTEMI OMOM CON FORNITURA DI VIDEOCAPSULE ANNO 2012-2013 DITTA SOFAR,49810772C6,0,,AZIENDA OSPEDALIERO UNIVERSITARIA II UNIVERSITA&apos; STUDI NA...,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,06908670638,,0,
2011-1,FORNITURA GASOLIO ANNO 2011.,1015562445,91666.67,06570620010,COMUNE DI GRESSONEY SAINT JEAN,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00108510074,BOSONIN VITTORIO E C. S.N.C.,0,ITALY
2011-1,INCARICO AD OLPA PER MONITORAGGIO CORPI IDRICI SUPERFICIALI ANNO 2011,3131762BBF,0,,AGENZIA REGIONALE PER LA PROTEZIONE DELL&apos;AMBIENTE LIGURE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01305930107,,0,
2011-1,DE SERIO ADOLFO - BARI,29293976DF,0,,AZIENDA SANITARIA LOCALE BARI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,06534340721,,0,
2011-1,STIMOLATORI CARDIACI DDDR MULTIPROGRAMMABILI,0760068BF1,0,,AZIENDA OSPEDALIERA OSPEDALI RIUNITI PAPARDO- PIEMONTE,01-PROCEDURA APERTA,03051880833,,0,
2011-1,FORNITURA FARMACI,2759935269,0,,AZIENDA SANITARIA LOCALE CITTA&apos; DI MILANO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,12319130154,,0,
2011-1,RISONANZA MAGNETICA PER SERVIZIO DI RADIOLOGIA OSPEDALE DI TREVIGLIO,0861276B6D,920000.00,08872920155,AZIENDA OSPEDALIERA OSPEDALE TREVIGLIO CARAVAGGIO,01-PROCEDURA APERTA,02585580166,EMME ESSE M.S. SRL,0,ITALY
2011-1,NOLEGGIO FOTORIPRODUTTORI PER VARI ENTI,0721525D40,0,,COMANDO AEROPORTO /QUARTIER GENERALE DELLA 1? REGIONE AEREA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,97466230154,,0,
2011-1,"MANUTENZIONE ANNUALE IMPIANTI DI RISCALDAMENTO, CONDIZIONAMENTO E TRATTAMENTO ARIA",08660975D9,140432.00,,AZIENDA OSPEDALIERA DI PERUGIA SANTA MARIA DELLA MISERICO...,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02101050546,,0,
2011-1,MANUTENZIONE HARDWARE PER LE UNITÀ PERIFERICHE DA INTERNO E DA ESTERNO PER IL TELECONTROLLO DELLE CABINE SECONDARIE-APR39635,0793991618,0,,ENEL SERVIZI SRL,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,06377691008,,0,
2011-1,GESTIONE SCUOLA MATERNA ANNO 2011,1679561195,0,,COMUNE DI BAGNOLO MELLA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00453990178,,0,
2011-1,FORNITURA GAS VARI,2962037E3E,0,,AZIENDA OSPEDALIERA OSPEDALE DI CIRCOLO DI BUSTO ARSIZIO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02411080126,,0,
2011-1,LOTTO 59 SEZ. C,0768176EDF,27500.00,99999999999,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,01-PROCEDURA APERTA,04733051009,NON  CLASSIFICATO,0,ITALY
